timestamp,step,oracle,bug_type,message
2026-03-15 15:01:14,0,DAMAGE ORACLE,damage_not_applied,"Explosion hit tank but health didn't decrease! Before: 16.95, After: 16.95, Damage: 49.12."
2026-03-15 15:01:54,0,DAMAGE ORACLE,damage_not_applied,"Explosion hit tank but health didn't decrease! Before: 10.55, After: 10.55, Damage: 9.70."
2026-03-15 15:01:59,0,DAMAGE ORACLE,damage_not_applied,"Explosion hit tank but health didn't decrease! Before: 10.55, After: 10.55, Damage: 5.51."
2026-03-15 15:02:29,0,DAMAGE ORACLE,damage_not_applied,"Explosion hit tank but health didn't decrease! Before: 10.04, After: 10.04, Damage: 5.03."
2026-03-15 15:02:36,0,START MATCH NO POWERUP ORACLE,start_match_no_powerup,"Match started but a tank has already an active powerup! Tank0: False, Tank1: True"
2026-03-15 15:05:01,0,DAMAGE ORACLE,damage_not_applied,"Explosion hit tank but health didn't decrease! Before: 14.79, After: 14.79, Damage: 39.63."
2026-03-15 15:05:16,0,DAMAGE ORACLE,damage_not_applied,"Explosion hit tank but health didn't decrease! Before: 9.16, After: 9.16, Damage: 52.50."
2026-03-15 15:05:18,0,DAMAGE ORACLE,damage_not_applied,"Explosion hit tank but health didn't decrease! Before: 9.16, After: 9.16, Damage: 50.53."
2026-03-15 15:05:20,0,DAMAGE ORACLE,damage_not_applied,"Explosion hit tank but health didn't decrease! Before: 9.16, After: 9.16, Damage: 55.64."
2026-03-15 15:05:21,0,DAMAGE ORACLE,damage_not_applied,"Explosion hit tank but health didn't decrease! Before: 9.16, After: 9.16, Damage: 7.06."
2026-03-15 15:05:40,0,DAMAGE ORACLE,damage_not_applied,"Explosion hit tank but health didn't decrease! Before: 16.34, After: 16.34, Damage: 18.91."
2026-03-15 15:05:43,0,DAMAGE ORACLE,damage_not_applied,"Explosion hit tank but health didn't decrease! Before: 16.34, After: 16.34, Damage: 4.12."
2026-03-15 15:05:45,0,DAMAGE ORACLE,damage_not_applied,"Explosion hit tank but health didn't decrease! Before: 16.34, After: 16.34, Damage: 17.03."
2026-03-15 15:05:49,0,DAMAGE ORACLE,damage_not_applied,"Explosion hit tank but health didn't decrease! Before: 16.34, After: 16.34, Damage: 49.86."
2026-03-15 15:19:54,0,DAMAGE ORACLE,damage_not_applied,"Explosion hit tank but health didn't decrease! Before: 1.38, After: 1.38, Damage: 54.74."
2026-03-15 15:19:57,0,DAMAGE ORACLE,damage_not_applied,"Explosion hit tank but health didn't decrease! Before: 1.38, After: 1.38, Damage: 0.78."
2026-03-15 15:20:00,0,DAMAGE ORACLE,damage_not_applied,"Explosion hit tank but health didn't decrease! Before: 1.38, After: 1.38, Damage: 11.11."
